id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,month
1,Итого,29324068273.0,29387512381.6,28365066830.7,1990249710.2,10539948234.6,1889813901.525,3633514311.283,1743700409.758,94.95360767243085,6.662469412832907,0,True,True,False,,01.2023
2,Государственные услуги общего характера,1238576525.2,1239335775.2,1240636238.6,81147245.4,456218871.3,68922737.715,170441066.457,101518328.74199998,84.93540030257145,5.555434830178433,0,True,True,False,1.0,01.2023
3,Оборона,1099024059.4,1100507290.3,1098572231.3,115488733.4,288865329.0,109487448.217,152477936.221,42990488.00399999,94.80357520052254,9.966340409627646,0,True,True,False,2.0,01.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1364394590.0,1362034953.0,82886086.0,423047202.4,64505110.776,134367947.119,69862836.343,77.82381083358189,4.735936521593804,0,True,True,False,3.0,01.2023
5,Образование,6215800341.0,6219664160.6,5717777613.6,272152647.5,3933401924.9,263781032.62,1042455357.204,778674324.584,96.9239267165314,4.6133489346032714,0,True,True,False,4.0,01.2023
6,Здравоохранение,2335291942.0,2335434357.0,2323984647.0,292093812.8,552890661.0,273495693.42,369114669.817,95618976.39699996,93.63282665876447,11.768395018144886,0,True,True,False,5.0,01.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5313051975.7,5299228588.7,423881711.0,845128432.3,421920465.752,440639612.771,18719147.019000053,99.5373130764776,7.961922356995455,0,True,True,False,6.0,01.2023
8,Жилищно-коммунальное хозяйство,1554154086.7,1561983503.1,1286247574.2,31441531.3,856961740.0,29699991.386,189334664.107,159634672.721,94.461020688264,2.309041585907156,0,True,True,False,7.0,01.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,756944736.7,757199260.8,49407155.8,510586128.3,30106818.267,129808568.239,99701749.97199999,60.93614938870859,3.9760760245845193,0,True,True,False,8.0,01.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,205763806.4,188403504.4,11440931.0,147066269.0,10556761.689,20459340.017,9902578.328000002,92.27187620482982,5.6032724670486544,0,True,True,False,9.0,01.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1062223071.4,1043795779.4,95077833.8,697011735.8,85445781.732,161757081.108,76311299.37600002,89.86929793934787,8.186063157020655,0,True,True,False,10.0,01.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,209615375.6,207687533.6,2616606.3,42875130.6,2491882.941,7753318.556,5261435.615,95.23339223787698,1.19982306968857,0,True,True,False,11.0,01.2023
13,Транспорт и коммуникации,1474838899.8,1496566481.2,1398961087.2,40977398.5,855254304.8,39160726.717,267810408.644,228649681.927,95.56664930058945,2.799272050903118,0,True,True,False,12.0,01.2023
14,Прочие,1972941131.1,1991455045.4,1898825542.9,47690142.4,413626525.2,46299626.513,103154517.243,56854890.730000004,97.08426979450579,2.4383296657305564,0,True,True,False,13.0,01.2023
15,Обслуживание долга,1819380632.0,1819380635.0,1819380635.0,165830705.0,181372334.0,165822654.882,165822654.882,0.0,99.99514558054855,9.114236553474145,0,True,True,False,14.0,01.2023
16,Трансферты,0.0,0.0,11140063.0,944063.0,7313277.0,944063.0,944063.0,0.0,100.0,8.474485287919826,0,True,True,False,15.0,01.2023
17,Погашение займов,2711191578.0,2711191578.0,2711191578.0,277173107.0,328328369.0,277173105.898,277173105.898,0.0,99.99999960241453,10.22329473679119,0,True,True,False,16.0,01.2023
1,Итого,29330118273.0,29400189686.9,28381671640.9,4286910618.0,13288190203.6,4127001459.532,6787964835.973,2660963376.4409995,96.2698275584154,14.541079580332747,0,True,True,False,,02.2023
2,Государственные услуги общего характера,1238576525.2,1241914102.8,1245708953.9,271170135.0,613451866.7,213252893.747,351697005.723,138444111.97599998,78.6417330754362,17.11899822822651,0,True,True,False,1.0,02.2023
3,Оборона,1099024059.4,1100577283.3,1098793077.3,161847528.2,360391435.9,157012283.282,241446748.957,84434465.67499998,97.01246909867854,14.289522433815938,0,True,True,False,2.0,02.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1365614510.0,1363254591.0,186145393.9,562077113.3,149360504.485,233783084.921,84422580.43599999,80.23862495638147,10.956171024183995,0,True,True,False,3.0,02.2023
5,Образование,6215800341.0,6218262656.6,5717462944.1,744023912.9,4357467277.4,733168344.046,1667002753.447,933834409.401,98.54096505961913,12.82331606193575,0,True,True,False,4.0,02.2023
6,Здравоохранение,2335291942.0,2336417550.0,2323152420.3,565783647.8,846294129.5,560944180.975,675340881.986,114396701.01099992,99.1446435675867,24.14581910654672,0,True,True,False,5.0,02.2023
