id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,month
1,0,Итого,11514417815.0,11578294524.7,11598268513.8,440644892.1,7801686257.1,424184043.679,1571941239.121,1147757195.442,96.2643732592583,3.6573049086964313,0,True,True,False,01.2023
2,1,Государственные услуги общего характера,330733637.2,331492887.2,331696175.9,18038864.7,201336585.6,16654659.45,28302300.177,11647640.727000002,92.32653898668023,5.021058625355108,0,True,True,False,01.2023
3,2,Оборона,68660352.4,70143583.3,70154383.3,745787.4,45239853.3,704308.296,6313900.514,5609592.218,94.43821335678237,1.0039405420872682,0,True,True,False,01.2023
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",291862091.0,292497180.0,292497180.0,13461737.0,165568537.4,12363646.034,22328088.529,9964442.495,91.8428731299683,4.226928284915431,0,True,True,False,01.2023
5,4,Образование,5005750655.0,5009614474.6,5009990002.6,230230806.5,3812407177.9,225596110.735,973862297.292,748266186.557,97.98693500863014,4.502925367474265,0,True,True,False,01.2023
6,5,Здравоохранение,307894771.0,308037186.0,308037186.0,3351844.8,185560237.0,2911017.408,23917572.981,21006555.573,86.84821588398125,0.9450214260819795,0,True,True,False,01.2023
7,6,Социальная помощь и социальное обеспечение,677644184.4,678589079.7,678599079.7,16151124.6,413771454.9,14280465.251,30866669.578,16586204.327000001,88.41777649960054,2.1044038635173528,0,True,True,False,01.2023
8,7,Жилищно-коммунальное хозяйство,1224194727.7,1232024144.1,1239632736.2,27806131.3,852936429.0,26064591.386,185699264.107,159634672.721,93.73684927539703,2.10260592713121,0,True,True,False,01.2023
9,8,"Культура, спорт, туризм и информационное пространство",554081353.3,559482405.7,559736929.8,24787600.8,360912998.6,23109071.848,61180599.182,38071527.33399999,93.22835249146017,4.128559438852306,0,True,True,False,01.2023
10,9,Топливно-энергетический комплекс и недропользование,169350210.0,169755419.4,169755419.4,10534398.0,132146553.0,9942229.967,13440604.076,3498374.1089999992,94.37871976167979,5.856796797498885,0,True,True,False,01.2023
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",699228597.2,700889012.4,701154884.4,6435817.8,501694402.8,5977028.434,28719406.796,22742378.362,92.87131208096041,0.8524547952218473,0,True,True,False,01.2023
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",38052685.9,38130502.6,38165148.6,1214103.3,26766946.6,1095197.441,2994969.956,1899772.5149999997,90.20628154128237,2.8696270843289735,0,True,True,False,01.2023
13,12,Транспорт и коммуникации,827597641.8,849325223.2,849791312.2,17144855.5,603130363.8,15486381.98,76624423.346,61138041.366,90.32669875812019,1.8223747121993699,0,True,True,False,01.2023
14,13,Прочие,577036501.1,595550415.4,594946541.6,42846332.4,381247370.2,42103880.079,89795687.217,47691807.13799999,98.26717415607784,7.076918199367848,0,True,True,False,01.2023
15,14,Обслуживание долга,60635388.0,60704192.0,60704192.0,350677.0,15942317.0,350655.466,350655.466,0.0,99.9938593064273,0.5776462126371766,0,True,True,False,01.2023
16,15,Трансферты,437012012.0,437393185.1,448741708.1,27544591.0,33913805.0,27544590.904,27544590.904,0.0,99.99999965147421,6.138183816393063,0,True,True,False,01.2023
17,16,Погашение займов,244683007.0,244665634.0,244665634.0,220.0,69111225.0,209.0,209.0,0.0,95.0,8.542270386857845e-05,0,True,True,False,01.2023
1,0,Итого,11520467815.0,11590971830.0,11677662139.3,1347618354.3,8763669998.6,1302449557.002,2934134606.584,1631685049.582,96.64825006620943,11.153341666040644,0,True,True,False,02.2023
2,1,Государственные услуги общего характера,330733637.2,334071214.8,336167147.1,53427341.3,232488301.4,51835065.351,73072939.242,21237873.890999995,97.0197357565311,15.419432207508537,0,True,True,False,02.2023
3,2,Оборона,68660352.4,70213576.3,70228661.2,3569192.7,54454771.6,3413866.011,14932884.55,11519018.539,95.64812824479888,4.861072320997057,0,True,True,False,02.2023
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",291862091.0,293717100.0,293716818.0,32546791.0,182445742.2,31955206.198,46546614.097,14591407.899000004,98.18235597481791,10.879597026684388,0,True,True,False,02.2023
5,4,Образование,5005750655.0,5008212970.6,5009675333.1,610413680.2,3938881123.7,603670485.556,1331201317.876,727530832.3199999,98.89530741811183,12.050091980360873,0,True,True,False,02.2023
6,5,Здравоохранение,307894771.0,309020379.0,307204959.3,20707903.3,220910764.0,19855418.137,63611867.106,43756448.969,95.8832859577821,6.463247918341791,0,True,True,False,02.2023
7,6,Социальная помощь и социальное обеспечение,677644184.4,680874662.7,680171941.0,83355215.2,474352780.2,80338295.013,116832684.614,36494389.600999996,96.38064615421926,11.811468567033993,0,True,True,False,02.2023
8,7,Жилищно-коммунальное хозяйство,1230244727.7,1246550081.2,1266825231.1,110898569.2,1079680999.1,103193463.899,444778116.572,341584652.67300004,93.05211477787037,8.145832697805984,0,True,True,False,02.2023
9,8,"Культура, спорт, туризм и информационное пространство",554081353.3,558809868.1,558112574.6,69420149.9,409032180.6,66452518.854,135562727.602,69110208.748,95.72511576210238,11.906651431680535,0,True,True,False,02.2023
10,9,Топливно-энергетический комплекс и недропользование,169350210.0,170805419.4,171093738.4,22231724.5,167743182.4,18863177.929,54906745.852,36043567.92299999,84.8480194552609,11.025054514210089,0,True,True,False,02.2023
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",699228597.2,674861087.4,676224283.7,45205506.7,503522640.4,42147108.432,91396031.1,49248922.668,93.23445639422508,6.232711460965239,0,True,True,False,02.2023
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",38052685.9,38976617.9,40407289.0,3500643.3,32303555.8,3286000.285,12153849.194,8867848.909,93.868469403895,8.132196854384366,0,True,True,False,02.2023
13,12,Транспорт и коммуникации,827597641.8,853671987.2,855624640.9,71492139.2,769939764.5,69659083.979,246507604.654,176848520.675,97.4360045153048,8.141313450922613,0,True,True,False,02.2023
14,13,Прочие,577036501.1,608423854.3,604453506.8,89720021.4,479490550.6,85366097.394,180217454.161,94851356.76700002,95.14721024576124,14.122855841457746,0,True,True,False,02.2023
15,14,Обслуживание долга,60635388.0,60704192.0,60910285.0,1655998.3,17203296.0,1655952.18,1655952.18,0.0,99.99721497298638,2.718674161514759,0,True,True,False,02.2023
16,15,Трансферты,437012012.0,437393185.1,500573748.1,127598274.1,131277849.1,118882692.658,118882692.658,0.0,93.16951463217323,23.749286315799907,0,True,True,False,02.2023
17,16,Погашение займов,244683007.0,244665634.0,246271982.0,1875204.0,69942497.0,1875125.126,1875125.126,0.0,99.9957938442964,0.7614041641164037,0,True,True,False,02.2023
1,0,Итого,11520467815.0,11590971830.0,11716552571.6,2424894353.0,9148174195.8,2406836475.591,4631450966.771,2224614491.18,99.2553128186117,20.542189870977765,0,True,True,False,03.2023
2,1,Государственные услуги общего характера,330733637.2,334071214.8,345628471.7,85022387.8,253522731.3,84197525.229,113180074.418,28982549.188999996,99.02982897523374,24.36070292903477,0,True,True,False,03.2023
