id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,parentCode,parent_id,month
1,1,I. Республиканские инвестиционные проекты - всего,331891636.0,331891636.0,331891636.0,38906584.0,203281111.7,13556269.8,85237885.1,71681615.3,34.843125266407355,4.084546981473195,0,False,True,False,,,01.2023
2,1,Государственные услуги общего характера,45497690.0,45497690.0,45497690.0,10474076.0,11074076.0,10474075.9,10633063.200000001,158987.30000000075,99.99999904526184,23.021115797307512,1,False,True,False,1.0,1.0,01.2023
3,217,Министерство финансов Республики Казахстан,45220730.0,45220730.0,45220730.0,10474076.0,11074076.0,10474075.9,10633063.200000001,158987.30000000075,99.99999904526184,23.162111491787062,2,False,True,False,1.0,2.0,01.2023
4,205,Модернизация и техническое дооснащение пунктов пропуска на границе,45220730.0,45220730.0,45220730.0,10474076.0,11074076.0,10474075.9,10633063.200000001,158987.30000000075,99.99999904526184,23.162111491787062,3,False,True,False,217.0,3.0,01.2023
5,4,За счет внешних займов,43852766.0,43852766.0,43852766.0,10474076.0,10474076.0,10474075.9,10474075.9,0.0,99.99999904526184,23.884641392973936,4,False,True,False,205.0,4.0,01.2023
6,30,За счет средств республиканского бюджета,1367964.0,1367964.0,1367964.0,0.0,600000.0,0.0,158987.3,158987.3,0.0,0.0,4,False,True,False,205.0,4.0,01.2023
7,608,Агентство Республики Казахстан по делам государственной службы,181610.0,181610.0,181610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,True,False,1.0,2.0,01.2023
8,17,Создание и развитие информационных систем Агентства Республики Казахстан по делам государственной службы,181610.0,181610.0,181610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,608.0,7.0,01.2023
9,0,,181610.0,181610.0,181610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,True,False,17.0,8.0,01.2023
10,693,Управление материально-технического обеспечения ,95350.0,95350.0,95350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,True,False,1.0,2.0,01.2023
