id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,11520467815.0,13447823962.0,13622304085.1,5882389711.5,11742917364.2,5854472290.249,8516272361.712,2661800071.4630003,99.5254068053937,42.977107644018815,0,True,True,False
2,1,Государственные услуги общего характера,330733637.2,390348474.8,431324368.6,194520085.2,364739558.0,193862678.907,251541823.751,57679144.84399998,99.66203680595551,44.9459137994551,0,True,True,False
3,2,Оборона,68660352.4,82792331.9,82873527.6,20611424.5,72348806.8,20487429.426,47524480.315,27037050.889,99.39841579605525,24.72131936374819,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",291862091.0,324102619.4,324097704.5,127787284.0,262971788.4,127390250.257,167208109.786,39817859.529000014,99.68930105518167,39.306125433233355,0,True,True,False
5,4,Образование,5005750655.0,5116421008.6,5129595515.7,2607651040.7,4548718004.4,2601571805.097,3458546169.64,856974364.5429997,99.76686928165941,50.716899551523056,0,True,True,False
6,5,Здравоохранение,307894771.0,362351985.0,368508729.5,95180493.9,301662611.4,94815997.884,159117442.911,64301445.02700001,99.61704756818875,25.72964771082852,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,677644184.4,696986562.7,697283561.1,308875810.3,568096116.0,308392717.528,349102203.84,40709486.31199998,99.84359643717946,44.22773384209645,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,1230244727.7,1871047273.0,1930608512.7,581369736.2,1828562866.6,575619002.07,1225683606.145,650064604.0749999,99.0108301530127,29.815418210550813,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",554081353.3,610968946.3,611199590.7,273007256.3,521934786.0,271630267.348,374867835.142,103237567.79400003,99.49562184878819,44.44215465473478,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,169350210.0,315725894.1,322767899.7,132346301.4,322036021.5,130094452.033,282794668.307,152700216.274,98.29851734186809,40.3058830056885,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",699228597.2,871462561.8,894736887.3,330497756.2,633087288.0,329930290.304,396678514.608,66748224.30399996,99.82829962220482,36.87455999490679,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",38052685.9,59647017.3,77582233.2,33691244.7,72708210.1,33201491.732,53916610.045,20715118.313,98.54634943778137,42.795225611010125,0,True,True,False
13,12,Транспорт и коммуникации,827597641.8,1110456892.3,1142589673.6,431152314.6,1077526141.9,428021638.073,802284501.634,374262863.56099993,99.27388154464519,37.46066045953455,0,True,True,False
14,13,Прочие,577036501.1,837216150.9,810613655.0,387148142.9,744047334.9,380904963.336,588457089.334,207552125.99799997,98.38739260965212,46.98970477323134,0,True,True,False
15,14,Обслуживание долга,60635388.0,59492701.1,59492559.1,19387693.8,30407069.4,19386934.967,19386934.967,0.0,99.99608600688752,32.587159235179044,0,True,True,False
16,15,Трансферты,437012012.0,497298554.2,497524678.2,281632261.7,281633496.2,281632223.89,281632223.89,0.0,99.99998657469149,56.60668429733381,0,True,True,False
17,16,Погашение займов,244683007.0,241504988.6,241504988.6,57530865.1,112437264.6,57530147.397,57530147.397,0.0,99.99875249051313,23.821515129149592,0,True,True,False
