id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,month
1,0,Итого,23548453455.0,23548453455.0,23547403288.0,1869625477.1,8457773234.5,1785668970.266,2381587942.001,595918971.7349999,95.5094478620271,7.583294635192303,0,True,True,False,01.2023
2,1,Государственные услуги общего характера,907842888.0,907842888.0,908940062.7,63108380.7,254882285.7,52268078.265,142138766.279,89870688.01400001,82.8227213014198,5.750442786044444,0,True,True,False,01.2023
3,2,Оборона,1030363707.0,1030363707.0,1030363707.0,114742946.0,243625475.7,108783139.921,146164035.707,37380895.78599998,94.80594991957065,10.557741813105224,0,True,True,False,01.2023
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1071897410.0,1071897410.0,69424349.0,257478665.0,52141464.742,112039858.59,59898393.848000005,75.10544282093305,4.864408128572677,0,True,True,False,01.2023
5,4,Образование,1210049686.0,1210049686.0,1210049686.0,41921841.0,617506368.0,38184921.885,68593059.912,30408138.027000003,91.08598519086983,3.1556490883631367,0,True,True,False,01.2023
6,5,Здравоохранение,2027397171.0,2027397171.0,2027397171.0,288741968.0,369117876.0,270584676.012,345197096.836,74612420.824,93.71158542910536,13.346406904500904,0,True,True,False,01.2023
7,6,Социальная помощь и социальное обеспечение,4663442896.0,4663442896.0,4663442896.0,407730586.4,437347099.4,407640000.501,409772943.193,2132942.6920000315,99.97778290321563,8.741181345881758,0,True,True,False,01.2023
8,7,Жилищно-коммунальное хозяйство,336481716.0,336481716.0,336481716.0,13682995.0,162258129.0,13682995.0,13682995.0,0.0,100.0,4.066489901044132,0,True,True,False,01.2023
9,8,"Культура, спорт, туризм и информационное пространство",197462331.0,197462331.0,197462331.0,24619555.0,149673129.7,6997746.419,68627969.057,61630222.638,28.423529259566227,3.5438386570044083,0,True,True,False,01.2023
10,9,Топливно-энергетический комплекс и недропользование,109938511.0,109938511.0,109938511.0,906533.0,81179292.0,614531.722,7018735.942,6404204.22,67.78922797074128,0.5589776652514422,0,True,True,False,01.2023
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",433731024.0,433731024.0,432680857.0,88553589.0,212388290.0,79398811.176,132943489.608,53544678.432,89.6618782735051,18.350433094385778,0,True,True,False,01.2023
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",181484873.0,181484873.0,181484873.0,1402503.0,16108184.0,1396685.5,4758348.6,3361663.0999999996,99.5852058783475,0.7695878322597167,0,True,True,False,01.2023
13,12,Транспорт и коммуникации,647241258.0,647241258.0,647241258.0,23832543.0,308324168.0,23674344.737,191185985.298,167511640.56100002,99.33620905247082,3.6577310924452844,0,True,True,False,01.2023
14,13,Прочие,1425291377.0,1425291377.0,1424194202.3,4993810.0,88504730.0,4345746.434,13508830.027,9163083.593,87.02266273646777,0.3051372086041247,0,True,True,False,01.2023
15,14,Обслуживание долга,1759017679.0,1759017679.0,1759017679.0,165601016.0,165601016.0,165592967.054,165592967.054,0.0,99.99513955518243,9.413945580589015,0,True,True,False,01.2023
16,15,Трансферты,4995054752.0,4995054752.0,4995054752.0,283189755.0,4816605419.0,283189755.0,283189755.0,0.0,100.0,5.669402420195934,0,True,True,False,01.2023
17,16,Погашение займов,2551756176.0,2551756176.0,2551756176.0,277173107.0,277173107.0,277173105.898,277173105.898,0.0,99.99999960241453,10.862052907126971,0,True,True,False,01.2023
1,0,Итого,23517348799.0,23517348799.0,23517348799.0,0.0,10645241474.6,3696420877.594,4724377818.257,1027956940.6630001,0.0,15.717846893316386,0,True,True,False,02.2023
2,1,Государственные услуги общего характера,876738232.0,876738232.0,881394860.1,0.0,374166170.8,157461849.009,273346700.899,115884851.88999999,0.0,17.86507456954479,0,True,True,False,02.2023
3,2,Оборона,1030363707.0,1030363707.0,1030510275.1,0.0,307178489.3,153891217.271,226806664.408,72915447.137,0.0,14.933496636515,0,True,True,False,02.2023
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1071897410.0,1071897410.0,0.0,381991008.1,117405298.288,187236470.823,69831172.53500001,0.0,10.953034981957835,0,True,True,False,02.2023
5,4,Образование,1210049686.0,1210049686.0,1210049686.0,0.0,915097774.7,129627858.49,335931435.571,206303577.08099997,0.0,10.712606266483506,0,True,True,False,02.2023
6,5,Здравоохранение,2027397171.0,2027397171.0,2027397171.0,0.0,636833075.5,542772253.839,613412505.88,70640252.04100001,0.0,26.771875861466317,0,True,True,False,02.2023
7,6,Социальная помощь и социальное обеспечение,4663442896.0,4663442896.0,4663442896.0,0.0,851618124.9,811249981.743,833043824.997,21793843.25399995,0.0,17.39594543848361,0,True,True,False,02.2023
8,7,Жилищно-коммунальное хозяйство,336481716.0,336481716.0,336481716.0,0.0,247232181.0,27933395.4,27933395.4,0.0,0.0,8.3016086972167,0,True,True,False,02.2023
9,8,"Культура, спорт, туризм и информационное пространство",197462331.0,197462331.0,197462331.0,0.0,161141767.2,29671401.463,150149307.201,120477905.738,0.0,15.026360376045597,0,True,True,False,02.2023
10,9,Топливно-энергетический комплекс и недропользование,109938511.0,109938511.0,109938511.0,0.0,103135905.0,7690786.192,16854746.428,9163960.236,0.0,6.9955342509596115,0,True,True,False,02.2023
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",433731024.0,433731024.0,433731024.0,0.0,318361153.8,172333058.588,245962396.937,73629338.349,0.0,39.73270277018505,0,True,True,False,02.2023
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",181484873.0,181484873.0,181484873.0,0.0,18516099.0,2013536.718,5878672.6,3865135.8819999993,0.0,1.109479090304127,0,True,True,False,02.2023
13,12,Транспорт и коммуникации,647241258.0,647241258.0,647241258.0,0.0,456773886.0,76233717.469,318471339.846,242237622.37700003,0.0,11.77825370783146,0,True,True,False,02.2023
14,13,Прочие,1425291377.0,1425291377.0,1420488180.8,0.0,343698764.3,115016616.342,136230450.485,21213834.14300002,0.0,8.096978059840257,0,True,True,False,02.2023
15,14,Обслуживание долга,1759017679.0,1759017679.0,1759017679.0,0.0,380429061.0,380426754.888,380426754.888,0.0,0.0,21.627227482117878,0,True,True,False,02.2023
16,15,Трансферты,4995054752.0,4995054752.0,4995054752.0,0.0,4852392134.0,676017281.0,676017281.0,0.0,0.0,13.533731151381781,0,True,True,False,02.2023
17,16,Погашение займов,2551756176.0,2551756176.0,2551756176.0,0.0,296675880.0,296675870.894,296675870.894,0.0,0.0,11.626340858281123,0,True,True,False,02.2023
1,0,Итого,23548453455.0,23548453455.0,23557046292.0,0.0,11760808909.4,5542617729.759,6597412414.188,1054794684.4289999,0.0,23.52849190452743,0,True,True,False,03.2023
2,1,Государственные услуги общего характера,907842888.0,907842888.0,927157397.7,0.0,474639440.2,258220360.388,374063684.718,115843324.32999998,0.0,27.850757706142176,0,True,True,False,03.2023
3,2,Оборона,1030363707.0,1030363707.0,1030510275.1,0.0,348888791.6,209449402.628,298488546.691,89039144.063,0.0,20.324824282579343,0,True,True,False,03.2023
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1071897410.0,1073060453.0,0.0,485065697.9,204898554.107,283609577.196,78711023.08899999,0.0,19.094781988671425,0,True,True,False,03.2023
5,4,Образование,1210049686.0,1210049686.0,1214139289.0,0.0,915985404.5,434441724.852,641911206.555,207469481.70299995,0.0,35.781868586908075,0,True,True,False,03.2023
6,5,Здравоохранение,2027397171.0,2027397171.0,2027397171.0,0.0,633041475.8,547345079.453,621217539.349,73872459.89600003,0.0,26.997427405061718,0,True,True,False,03.2023
7,6,Социальная помощь и социальное обеспечение,4663442896.0,4663442896.0,4663452896.0,0.0,1229977473.1,1199439689.191,1219688751.876,20249062.684999943,0.0,25.719991515724317,0,True,True,False,03.2023
8,7,Жилищно-коммунальное хозяйство,336481716.0,336481716.0,336481716.0,0.0,275188430.0,51772908.7,51772908.7,0.0,0.0,15.386544420737561,0,True,True,False,03.2023
9,8,"Культура, спорт, туризм и информационное пространство",197462331.0,197462331.0,200898735.0,0.0,166425947.2,45761364.871,155612988.39,109851623.519,0.0,22.778324050173833,0,True,True,False,03.2023
10,9,Топливно-энергетический комплекс и недропользование,109938511.0,109938511.0,109938511.0,0.0,98561588.0,11778935.411,14744237.657,2965302.2459999993,0.0,10.714112192223524,0,True,True,False,03.2023
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",433731024.0,433731024.0,433179713.0,0.0,342745489.0,197443724.09,288726781.17,91283057.08000001,0.0,45.58009485776635,0,True,True,False,03.2023
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",181484873.0,181484873.0,182036184.0,0.0,28791755.0,13319227.953,19265581.992,5946354.038999999,0.0,7.316802440222543,0,True,True,False,03.2023
13,12,Транспорт и коммуникации,647241258.0,647241258.0,647241258.0,0.0,480431707.0,119724587.41,354877684.369,235153096.95900002,0.0,18.497675469569646,0,True,True,False,03.2023
