id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,month
1,0,Итого,23548453455.0,23548453455.0,23548453455.0,1869713904.1,8457931153.5,1785738912.388,2381682126.705,595943214.3169999,95.50867159259738,7.583253464183811,0,True,True,False,01.2023
2,1,Текущие затраты,0.0,0.0,18434857796.4,1448365005.6,6919077777.6,1392793053.346,1912461265.709,519668212.36300015,96.16312517637922,7.555214522012682,0,True,True,False,01.2023
3,2,Капитальные затраты,0.0,0.0,1647587962.6,50751421.5,1059517258.9,24358055.379,100626392.341,76268336.96200001,47.99482390655797,1.4784069762540277,0,True,True,False,01.2023
4,3,Бюджетные кредиты,0.0,0.0,279299322.0,70000000.0,89603965.0,70000000.0,70000000.0,0.0,100.0,25.062717481283396,0,True,True,False,01.2023
5,4,Приобретение финансовых активов,0.0,0.0,138734638.0,71110.0,71110.0,68291.273,68291.273,0.0,96.03610322036282,0.049224385477547435,0,True,True,False,01.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,277173107.0,277173107.0,277173105.898,277173105.898,0.0,99.99999960241453,10.862052907126971,0,True,True,False,01.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,20573350.0,0.0,6665.0,0.0,6664.992,6664.992,0.0,0.0,0,True,True,False,01.2023
1,0,Итого,23548453455.0,23548453455.0,23548453455.0,0.0,10654996578.4,3700376956.981,4729655283.839,1029278326.8579998,0.0,15.71388526236871,0,True,True,False,02.2023
2,1,Текущие затраты,0.0,0.0,18431388348.5,0.0,8609903635.9,3058841031.881,3976623932.211,917782900.3299999,0.0,16.59582541501784,0,True,True,False,02.2023
3,2,Капитальные затраты,0.0,0.0,1651057410.5,0.0,1392484357.5,129835152.314,241324469.266,111489316.952,0.0,7.863757582765168,0,True,True,False,02.2023
4,3,Бюджетные кредиты,0.0,0.0,279299322.0,0.0,189843948.0,163920000.0,163920000.0,0.0,0.0,58.68972356474249,0,True,True,False,02.2023
5,4,Приобретение финансовых активов,0.0,0.0,138734638.0,0.0,71110.0,68291.273,68291.273,0.0,0.0,0.049224385477547435,0,True,True,False,02.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,296675880.0,296675870.894,296675870.894,0.0,0.0,11.626340858281123,0,True,True,False,02.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,20573350.0,0.0,6665.0,555.416,6664.992,6109.576,0.0,0.0026996867306491165,0,True,True,False,02.2023
1,0,Итого,23548453455.0,23548453455.0,23557046292.0,0.0,11760808909.4,5542617729.758,6597412414.189,1054794684.4309998,0.0,23.52849190452319,0,True,True,False,03.2023
2,1,Текущие затраты,0.0,0.0,18412161843.8,0.0,9509812472.9,4456222086.355,5378052645.804,921830559.4490004,0.0,24.202601107677975,0,True,True,False,03.2023
3,2,Капитальные затраты,0.0,0.0,1678863929.2,0.0,1497217817.6,467997230.126,600955800.949,132958570.82300001,0.0,27.87582852822424,0,True,True,False,03.2023
4,3,Бюджетные кредиты,0.0,0.0,279299322.0,0.0,220901202.0,202390000.0,202390000.0,0.0,0.0,72.46347701481352,0,True,True,False,03.2023
5,4,Приобретение финансовых активов,0.0,0.0,138734638.0,0.0,68291.3,68291.273,68291.273,0.0,0.0,0.049224385477547435,0,True,True,False,03.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,327264439.1,327264438.257,327264438.257,0.0,0.0,12.825066961139003,0,True,True,False,03.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,20586173.0,0.0,6665.0,1110.832,6664.992,5554.16,0.0,0.005396010224921359,0,True,True,False,03.2023
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,14373422882.8,7767401487.283,8852754677.956,1085353190.6729994,0.0,30.9842972800299,0,True,True,False,04.2023
2,1,Текущие затраты,0.0,0.0,18510099398.2,0.0,10848833033.1,6022135312.801,6938171691.21,916036378.4090004,0.0,32.53432184911237,0,True,True,False,04.2023
3,2,Капитальные затраты,0.0,0.0,2491369168.8,0.0,2059266563.6,617531370.828,786843184.348,169311813.5200001,0.0,24.786827201744728,0,True,True,False,04.2023
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,0.0,249464082.0,216441687.0,216441687.0,0.0,0.0,32.724777466632915,0,True,True,False,04.2023
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,0.0,135068291.3,68291.273,68291.273,0.0,0.0,0.03279886586911532,0,True,True,False,04.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,772916897.3,772916896.499,772916896.499,0.0,0.0,30.289606184497774,0,True,True,False,04.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,0.0,19915888.0,1666.248,6664.992,4998.744000000001,0.0,0.004259546079217656,0,True,True,False,04.2023
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,16081031388.7,10086939988.14,11158150378.258,1071210390.118,0.0,40.23697600156817,0,True,True,False,05.2023
2,1,Текущие затраты,0.0,0.0,18512725876.8,0.0,11873337627.6,7600214901.155,8450517888.617,850302987.4619999,0.0,41.05400226705419,0,True,True,False,05.2023
3,2,Капитальные затраты,0.0,0.0,2488634921.5,0.0,2266321227.9,838467716.866,1046433478.861,207965761.9949999,0.0,33.69187298716446,0,True,True,False,05.2023
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,0.0,413624082.0,397265048.0,397265048.0,0.0,0.0,60.06426244067873,0,True,True,False,05.2023
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,0.0,135068291.3,35068291.273,35068291.273,0.0,0.0,16.842564667409178,0,True,True,False,05.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,1035125766.3,1035125764.957,1035125764.957,0.0,0.0,40.56523012240179,0,True,True,False,05.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,0.0,19915888.0,6974246.769,19915887.43,12941640.660999998,0.0,17.828753871206665,0,True,True,False,05.2023
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,17108567495.6,12003756626.321,13032860309.837,1029103683.5160007,0.0,47.88319033025255,0,True,True,False,06.2023
2,1,Текущие затраты,0.0,0.0,18506247675.0,0.0,12738635853.0,9196558521.581,9988944817.634,792386296.0530014,0.0,49.69434475906526,0,True,True,False,06.2023
3,2,Капитальные затраты,0.0,0.0,2495113123.3,0.0,2354152160.4,994816144.064,1218592446.282,223776302.21800005,0.0,39.87058281142262,0,True,True,False,06.2023
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,0.0,463873082.0,405702211.1,405702211.1,0.0,0.0,61.33991450532553,0,True,True,False,06.2023
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,0.0,135553278.6,135135372.558,135135372.558,0.0,0.0,64.9026846915384,0,True,True,False,06.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,1045126456.3,1042105707.765,1042105707.765,0.0,0.0,40.83876498727832,0,True,True,False,06.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,0.0,19915888.0,6974802.185,19915887.43,12941085.245000001,0.0,17.830173719899737,0,True,True,False,06.2023
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,18953614587.0,14400895427.992,15318457173.347,917561745.3549995,0.0,57.44541797795066,0,True,True,False,07.2023
2,1,Текущие затраты,0.0,0.0,18496264128.7,0.0,13880005689.8,10801139999.448,11467417078.321,666277078.8729992,0.0,58.396333034022,0,True,True,False,07.2023
3,2,Капитальные затраты,0.0,0.0,2505112614.6,0.0,2406233379.6,1167592718.065,1404263605.218,236670887.15299988,0.0,46.60839242356511,0,True,True,False,07.2023
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,0.0,506444530.0,427306419.1,427306419.1,0.0,0.0,64.60635041673501,0,True,True,False,07.2023
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,0.0,155553278.6,155135372.558,155135372.558,0.0,0.0,74.5082651495613,0,True,True,False,07.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,1562644331.5,1562644330.662,1562644330.662,0.0,0.0,61.23799543855791,0,True,True,False,07.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,0.0,23262387.0,8648607.101,23262386.43,14613779.329,0.0,22.10903807101856,0,True,True,False,07.2023
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,16476487457.1,20235135423.0,16369357554.322,17176847891.092,807490336.7699986,99.34980132715219,65.29764704149854,0,True,True,False,08.2023
2,1,Текущие затраты,0.0,0.0,18482121277.5,12182624827.9,14715210129.0,12122466558.7,12693254854.36,570788295.6599998,99.50619616010641,65.59023380859318,0,True,True,False,08.2023
3,2,Капитальные затраты,0.0,0.0,2519233305.5,1388350382.3,2461497429.5,1346971637.527,1573356561.758,226384924.23099995,97.01957479174311,53.46752262231077,0,True,True,False,08.2023
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,480205786.1,498689644.0,480205786.1,480205786.1,0.0,100.0,72.60444005092246,0,True,True,False,08.2023
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,155553278.6,155553278.6,155135372.558,155135372.558,0.0,99.73134218335916,74.5082651495613,0,True,True,False,08.2023
6,5,Погашение займов,0.0,0.0,2551756176.0,1918564519.8,1918564519.8,1918564519.556,1918564519.556,0.0,99.99999998728217,75.18604393321942,0,True,True,False,08.2023
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,12945274.7,23262387.0,12945269.55,23262386.43,10317116.879999999,99.99996021714395,33.09289622920371,0,True,True,False,08.2023
