id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,parentCode,parent_id
1,Остатки бюджетных средств на начало финансового года,0.0,0.0,0.0,0.0,0.0,283637422.466,0.0,0.0,0.0,0.0,0,True,True,False,,,
2,II. ЗАТРАТЫ,20578663319.0,21647463677.0,21647463677.0,10482435161.1,15464014678.7,10420813334.901,11449917018.416,1029103683.5150013,99.41214207145609,48.13872650574259,0,False,True,False,2.0,,
4,Государственные услуги общего характера,907700668.0,1010251132.0,1064872104.4,497649830.6,716585760.1,483147505.248,601969213.607,118821708.35899997,97.0858373779581,45.37141157625014,1,False,True,False,1.0,2.0,2.0
5,"Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",169539516.0,200582111.0,200595072.0,98187890.9,166327103.5,90456061.171,136738137.075,46282075.903999984,92.12547529218799,45.09386011785973,2,False,True,False,1.0,1.0,4.0
6,Администрация Президента Республики Казахстан,12553558.0,14769262.0,14769262.0,6878211.2,7987698.0,6561796.985,7492235.866,930438.881,95.39976011495547,44.42873980433146,3,False,True,False,101.0,1.0,5.0
7,Канцелярия Премьер-Министра Республики Казахстан,4109378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,104.0,1.0,5.0
8,Национальный центр по правам человека,970419.0,1057300.0,1057300.0,629737.0,675248.0,406319.522,445972.94,39653.418000000005,64.52209763758522,38.42991790409533,3,False,True,False,106.0,1.0,5.0
9,Аппарат Высшего Судебного Совета Республики Казахстан      ,638857.0,679284.0,679284.0,263250.1,299019.9,256906.252,285140.283,28234.030999999988,97.59018211199161,37.82015357346854,3,False,True,False,107.0,1.0,5.0
10,Канцелярия Первого Президента Республики Казахстан – Елбасы,1678654.0,1549428.0,1549428.0,829923.0,893111.0,698715.962,761690.381,62974.418999999994,84.19045646403342,45.09509070444061,3,False,True,False,108.0,1.0,5.0
11,Аппарат Правительства Республики Казахстан,0.0,4176806.0,4176806.0,2148084.0,2744982.1,1805902.97,2441380.909,635477.939,84.07040739561396,43.236457953757004,3,False,True,False,109.0,1.0,5.0
12,Агентство Республики Казахстан по делам государственной службы,181610.0,181610.0,181610.0,0.0,181610.0,0.0,110195.106,110195.106,0.0,0.0,3,False,True,False,608.0,1.0,5.0
13,ГУ Агентство по стратегическому планированию и реформам Республики Казахстан,19171235.0,20699481.0,20702906.4,9345258.8,13772746.9,9223500.604,11131180.371,1907679.766999999,98.69711263640981,44.55171861280308,3,False,True,False,626.0,1.0,5.0
14, Аппарат Конституционного  Совета Республики Казахстан,1542889.0,1533580.0,1533580.0,829186.0,935874.0,595870.677,757157.316,161286.63899999997,71.86212466201793,38.85488054095646,3,False,True,False,637.0,1.0,5.0
15,Центральная избирательная комиссия Республики Казахстан,41751953.0,41743460.0,41752995.6,37526260.6,41486187.6,32260633.351,37268265.629,5007632.278000001,85.96815359481887,77.26543422192202,3,False,True,False,690.0,1.0,5.0
16,Управление материально-технического обеспечения ,22221458.0,27138162.0,27138162.0,12192780.6,18725639.6,11320950.232,18123278.638,6802328.4059999995,92.8496181748731,41.71597999894024,3,False,True,False,693.0,1.0,5.0
17,Управление Делами Президента Республики Казахстан,64719505.0,87053738.0,87053738.0,27545199.6,78624986.4,27325464.616,57921639.636,30596175.02,99.20227485300197,31.38919160025041,3,False,True,False,694.0,1.0,5.0
18,Финансовая деятельность,92337534.0,134025473.0,134025861.1,91445995.5,94744678.8,90940091.092,93100516.972,2160425.88000001,99.44677248551578,67.85264451623061,2,False,True,False,2.0,1.0,4.0
19,Министерство финансов Республики Казахстан,45680854.0,46232144.0,46232144.0,11116013.5,13213198.0,11116000.344,12301265.519,1185265.1749999989,99.99988164821858,24.043878094859718,3,False,True,False,217.0,2.0,18.0
20,Министерство индустрии и инфраструктурного развития Республики Казахстан,35000000.0,75193681.0,75193681.0,73380616.2,73380616.2,73380616.12,73380616.12,0.0,99.99999989097938,97.5888068573209,3,False,True,False,249.0,2.0,18.0
21,Высшая аудиторская палата Республики Казахстан,2458590.0,2967760.0,2968148.1,1381721.1,1738749.1,1219189.068,1502187.968,282998.90000000014,88.23698704463584,41.07574915146586,3,False,True,False,406.0,2.0,18.0
22,Агентство Республики Казахстан по регулированию и развитию финансового рынка,9198090.0,9631888.0,9631888.0,5567644.7,6412115.5,5224285.56,5916447.365,692161.8050000006,93.83295525305341,54.23947579124674,3,False,True,False,625.0,2.0,18.0
23,Внешнеполитическая деятельность,93161597.0,96712675.0,97563500.9,55308197.8,56437599.5,54520507.134,55544888.966,1024381.8319999948,98.57581570665462,55.882073348189984,2,False,True,False,3.0,1.0,4.0
24,Министерство иностранных дел Республики Казахстан,90963256.0,94514334.0,95404359.9,54772969.9,55901714.9,53985753.23,55010135.062,1024381.8320000023,98.5627643134246,56.58625380075528,3,False,True,False,204.0,3.0,23.0
25,Министерство экологии и природных ресурсов Республики Казахстан,0.0,0.0,11266.0,11266.0,11266.0,11194.252,11194.252,0.0,99.36314574826913,99.36314574826913,3,False,True,False,207.0,3.0,23.0
26,Министерство финансов Республики Казахстан,0.0,0.0,21480.0,21480.0,21480.0,21479.992,21479.992,0.0,99.99996275605213,99.99996275605213,3,False,True,False,217.0,3.0,23.0
27,Министерство просвещения Республики Казахстан ,0.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,224.0,3.0,23.0
28,Министерство науки и высшего образования Республики Казахстан,0.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,227.0,3.0,23.0
29,Министерство национальной экономики Республики Казахстан  ,2198341.0,2198341.0,1921162.0,450642.9,450642.9,450641.86,450641.86,0.0,99.99976921859857,23.456733997445294,3,False,True,False,243.0,3.0,23.0
30,Министерство индустрии и инфраструктурного развития Республики Казахстан,0.0,0.0,35233.0,34576.3,35233.0,34175.246,34175.246,0.0,98.84008988816038,96.99783157834983,3,False,True,False,249.0,3.0,23.0
31,Агентство Республики Казахстан по противодействию коррупции (Антикоррупционная служба),0.0,0.0,5000.0,4762.7,4762.7,4762.7,4762.7,0.0,100.0,95.25399999999999,3,False,True,False,624.0,3.0,23.0
32,ГУ Агентство по стратегическому планированию и реформам Республики Казахстан,0.0,0.0,146250.0,6250.0,6250.0,6249.854,6249.854,0.0,99.99766400000001,4.273404444444444,3,False,True,False,626.0,3.0,23.0
33,ГУ Агентство по защите и развитию конкуренции Республики Казахстан,0.0,0.0,6250.0,6250.0,6250.0,6250.0,6250.0,0.0,100.0,100.0,3,False,True,False,627.0,3.0,23.0
34,Фундаментальные научные исследования,156768897.0,158480145.0,158480145.0,38642026.9,98285133.6,38617139.414,76592250.028,37975110.614,99.93559477078051,24.367178244315713,2,False,True,False,4.0,1.0,4.0
35,Министерство по чрезвычайным ситуациям Республики Казахстан,0.0,0.0,112393.0,33717.9,112393.0,33717.9,112393.0,78675.1,100.0,30.0,3,False,True,False,202.0,4.0,34.0
36,Министерство экологии и природных ресурсов Республики Казахстан,0.0,0.0,1201882.0,667209.0,1201882.0,667208.2,1201882.0,534673.8,99.99988009754064,55.513619473459116,3,False,True,False,207.0,4.0,34.0
37,Министерство сельского хозяйства Республики Казахстан,0.0,0.0,1057346.0,528673.0,1057346.0,528673.0,1057346.0,528673.0,100.0,50.0,3,False,True,False,212.0,4.0,34.0
38,Министерство труда и социальной защиты населения Республики Казахстан,0.0,0.0,143594.0,83594.0,143594.0,83594.0,143594.0,60000.0,100.0,58.215524325528925,3,False,True,False,213.0,4.0,34.0
39,"Министерство цифрового развития, инноваций и аэрокосмической промышленности Республики Казахстан",0.0,0.0,197114.0,93630.0,197114.0,93629.2,197114.0,103484.8,99.9991455730001,47.50002536603184,3,False,True,False,223.0,4.0,34.0
40,Министерство просвещения Республики Казахстан ,0.0,0.0,139827.0,69913.5,139827.0,69913.5,139827.0,69913.5,100.0,50.0,3,False,True,False,224.0,4.0,34.0
41,Министерство здравоохранения Республики Казахстан,0.0,0.0,2021039.0,594135.0,1980449.0,594134.7,1980449.0,1386314.3,99.9999495064253,29.397488123682912,3,False,True,False,226.0,4.0,34.0
42,Министерство науки и высшего образования Республики Казахстан,156768897.0,158480145.0,152735798.0,36109213.7,92581506.6,36084328.814,70888623.028,34804294.213999994,99.93108438691924,23.625325095037645,3,False,True,False,227.0,4.0,34.0
43,Министерство энергетики Республики Казахстан,0.0,0.0,51828.0,34454.0,51828.0,34454.0,51828.0,17374.0,100.0,66.47757968665586,3,False,True,False,241.0,4.0,34.0
44,Министерство индустрии и инфраструктурного развития Республики Казахстан,0.0,0.0,819324.0,427486.8,819194.0,427486.1,819194.0,391707.9,99.99983625225387,52.17546416313936,3,False,True,False,249.0,4.0,34.0
45,Планирование и статистическая деятельность,3382833.0,4687605.0,4687605.0,1474073.7,2783651.3,1472989.85,2367749.08,894759.23,99.9264724687782,31.423079589683862,2,False,True,False,5.0,1.0,4.0
46,Министерство национальной экономики Республики Казахстан  ,682237.0,1352948.0,1352948.0,363027.3,381931.0,363027.203,363027.203,0.0,99.99997328024641,26.832310110957703,3,False,True,False,243.0,5.0,45.0
47,ГУ Агентство по стратегическому планированию и реформам Республики Казахстан,2700596.0,3334657.0,3334657.0,1111046.4,2401720.3,1109962.647,2004721.877,894759.23,99.90245654906944,33.28566167374936,3,False,True,False,626.0,5.0,45.0
48,Общие кадровые вопросы,589926.0,589926.0,589926.0,404362.9,560653.0,404362.834,560653.0,156290.16600000003,99.99998367802782,68.54467068750995,2,False,True,False,6.0,1.0,4.0
49,Агентство Республики Казахстан по делам государственной службы,589926.0,589926.0,589926.0,404362.9,560653.0,404362.834,560653.0,156290.16600000003,99.99998367802782,68.54467068750995,3,False,True,False,608.0,6.0,48.0
50,Прочие государственные услуги общего характера,391920365.0,415173197.0,468929994.4,212187282.9,297446940.4,206736353.753,237065018.486,30328664.73300001,97.4310764186707,44.086826652562706,2,False,True,False,9.0,1.0,4.0
51,Министерство внутренних дел Республики Казахстан,156635522.0,158293173.0,158556093.1,75105900.3,80411491.3,73924591.116,76654137.295,2729546.179000005,98.42714196983003,46.623620493333156,3,False,True,False,201.0,9.0,50.0
52,Министерство иностранных дел Республики Казахстан,60200.0,1027427.0,1027427.0,245171.6,650572.0,245171.6,650572.0,405400.4,100.0,23.862678321671517,3,False,True,False,204.0,9.0,50.0
53,Министерство экологии и природных ресурсов Республики Казахстан,14826657.0,16967264.0,21568346.2,7819171.7,13421455.6,5890569.171,6993990.464,1103421.2929999996,75.33495102812489,27.31117683468935,3,False,True,False,207.0,9.0,50.0
54,Министерство информации и общественного развития Республики Казахстан,7185593.0,13415486.0,14647128.2,4158549.4,9771450.1,3844164.088,6070808.311,2226644.2229999998,92.44002459126733,26.24517267487288,3,False,True,False,209.0,9.0,50.0
55,Министерство торговли и интеграции Республики Казахстан,7430904.0,8885225.0,8944105.8,3424348.6,7011206.8,3399205.0,4453084.665,1053879.665,99.26574064334454,38.00497306281864,3,False,True,False,211.0,9.0,50.0
56,Министерство финансов Республики Казахстан,127419723.0,131206843.0,132169829.2,54351065.7,80485563.0,54329214.564,66260072.968,11930858.404,99.95979630625715,41.10561002677001,3,False,True,False,217.0,9.0,50.0
57,"Министерство цифрового развития, инноваций и аэрокосмической промышленности Республики Казахстан",21476773.0,23531330.0,23535834.0,14125040.5,18316944.0,14003913.811,17821134.012,3817220.2009999976,99.14246837734731,59.50039336188384,3,False,True,False,223.0,9.0,50.0
58,Министерство энергетики Республики Казахстан,5142562.0,5418703.0,19809076.8,7861286.5,16993019.7,7782075.098,8308841.267,526766.1689999998,98.99238627163633,39.2854002060308,3,False,True,False,241.0,9.0,50.0
59,Министерство национальной экономики Республики Казахстан  ,9775823.0,10082409.0,10082409.0,4655136.2,6924999.6,4345307.294,6161123.085,1815815.7910000002,93.34436431741781,43.09790739494896,3,False,True,False,243.0,9.0,50.0
60,Министерство индустрии и инфраструктурного развития Республики Казахстан,16277999.0,18377837.0,50589285.1,27209857.9,45724422.6,26507061.614,28883564.474,2376502.8599999994,97.41712621733318,52.396592601780014,3,False,True,False,249.0,9.0,50.0
61,Высшая аудиторская палата Республики Казахстан,670375.0,670375.0,670375.0,357245.2,670375.0,357245.2,670375.0,313129.8,100.0,53.29035241469327,3,False,True,False,406.0,9.0,50.0
62,Агентство Республики Казахстан по делам государственной службы,4972985.0,5155967.0,5155967.0,2087373.7,3203908.6,2067189.783,2532179.251,464989.4680000001,99.03304726891979,40.09315387394838,3,False,True,False,608.0,9.0,50.0
63,ГУ Агентство по защите и развитию конкуренции Республики Казахстан,3452774.0,3548378.0,3548378.0,1888780.0,2137509.0,1726274.967,1924171.274,197896.30700000003,91.39629639238026,48.6496919719376,3,False,True,False,627.0,9.0,50.0
64,Агентство Республики Казахстан по финансовому мониторингу,16592475.0,18592780.0,18625740.0,8898355.6,11724023.1,8314370.447,9680964.42,1366593.9730000002,93.43715648990248,44.639141569677236,3,False,True,False,628.0,9.0,50.0
65,Оборона,1030363707.0,1148199687.0,1148713773.0,567837170.5,742443052.4,556905753.818,665314506.606,108408752.78799999,98.07490293874659,48.48081105213665,1,False,True,False,2.0,2.0,2.0
66,Военные нужды,843951496.0,883572708.0,883755882.6,452119192.1,548323661.8,451969211.596,515008832.343,63039620.74699998,99.96682722020638,51.141861739727446,2,False,True,False,1.0,2.0,65.0
67,Министерство обороны Республики Казахстан,517340575.0,534507954.0,534691128.6,248870266.1,345074735.8,248720285.6,311759906.347,63039620.74700001,99.93973546846303,46.51662844140182,3,False,True,False,208.0,1.0,66.0
68,Министерство индустрии и инфраструктурного развития Республики Казахстан,326610921.0,349064754.0,349064754.0,203248926.0,203248926.0,203248925.996,203248925.996,0.0,99.99999999803197,58.22671113795694,3,False,True,False,249.0,1.0,66.0
69,Организация работы по чрезвычайным ситуациям,186412211.0,264626979.0,264957890.4,115717978.4,194119390.6,104936542.222,150305674.263,45369132.04100001,90.68300680060965,39.60498857519587,2,False,True,False,2.0,2.0,65.0
70,Министерство по чрезвычайным ситуациям Республики Казахстан,186412211.0,264626979.0,264957890.4,115717978.4,194119390.6,104936542.222,150305674.263,45369132.04100001,90.68300680060965,39.60498857519587,3,False,True,False,202.0,2.0,69.0
71,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1262039415.0,1262147183.7,515668222.7,816909520.8,494279961.409,609805180.255,115525218.84600002,95.85232125047133,39.16183213751761,1,False,True,False,3.0,2.0,2.0
72,Правоохранительная деятельность,347766682.0,386980289.0,386980289.0,164553345.5,268453244.4,163750704.665,236855766.216,73105061.551,99.51223061885423,42.31499880475824,2,False,True,False,1.0,3.0,71.0
73,Министерство внутренних дел Республики Казахстан,308774717.0,344386753.0,344386753.0,145520761.0,243765731.0,145145671.339,217122139.808,71976468.46900001,99.74224319717514,42.14612498146814,3,False,True,False,201.0,1.0,72.0
74,Агентство Республики Казахстан по противодействию коррупции (Антикоррупционная служба),31210481.0,34047970.0,34047970.0,15126662.5,20166289.4,14807306.312,15765699.394,958393.0819999985,97.88878618796447,43.48954228989276,3,False,True,False,624.0,1.0,72.0
75,Агентство Республики Казахстан по финансовому мониторингу,7781484.0,8545566.0,8545566.0,3905922.0,4521224.0,3797727.014,3967927.014,170200.0,97.22997576500504,44.44090671115289,3,False,True,False,628.0,1.0,72.0
76,Правовая деятельность,4113567.0,4113567.0,4113567.0,1635466.0,2529833.0,1598232.842,2515512.198,917279.3559999999,97.72339149820296,38.85272421720614,2,False,True,False,2.0,3.0,71.0
